localidad,mmi,habitantes,pais,fuente
Socopo,3.6,110512,VE,El Pais (ShakeMap/MMI) 24J-2026
Aguasay,3.5,11856,VE,El Pais (ShakeMap/MMI) 24J-2026
Mucuchies,3.5,5900,VE,El Pais (ShakeMap/MMI) 24J-2026
El Valle del Espiritu Santo,3.5,45606,VE,El Pais (ShakeMap/MMI) 24J-2026
Carupano,3.5,173877,VE,El Pais (ShakeMap/MMI) 24J-2026
Maturin,3.5,514046,VE,El Pais (ShakeMap/MMI) 24J-2026
San Jose de Aerocuar,3.4,11162,VE,El Pais (ShakeMap/MMI) 24J-2026
Mapire,3.4,5326,VE,El Pais (ShakeMap/MMI) 24J-2026
Ciudad Bolivar,3.4,567953,VE,El Pais (ShakeMap/MMI) 24J-2026
Merida,3.4,300000,VE,El Pais (ShakeMap/MMI) 24J-2026
Mucuruba,3.4,4700,VE,El Pais (ShakeMap/MMI) 24J-2026
Ejido,3.4,107056,VE,El Pais (ShakeMap/MMI) 24J-2026
Cabruta,3.4,5500,VE,El Pais (ShakeMap/MMI) 24J-2026
Fortul,3.4,26798,CO,El Pais (ShakeMap/MMI) 24J-2026
Saravena,3.4,47203,CO,El Pais (ShakeMap/MMI) 24J-2026
Cedeno,3.3,67000,VE,El Pais (ShakeMap/MMI) 24J-2026
Rubio,3.3,95041,VE,El Pais (ShakeMap/MMI) 24J-2026
San Cristobal,3.3,285872,VE,El Pais (ShakeMap/MMI) 24J-2026
Los Nevados,3.3,656,VE,El Pais (ShakeMap/MMI) 24J-2026
Colon,3.2,36925,VE,El Pais (ShakeMap/MMI) 24J-2026
Santa Ana (1),3.2,36925,VE,El Pais (ShakeMap/MMI) 24J-2026
San Simon,3.2,2085,VE,El Pais (ShakeMap/MMI) 24J-2026
La Grita,3.2,88450,VE,El Pais (ShakeMap/MMI) 24J-2026
Tariba,3.2,128590,VE,El Pais (ShakeMap/MMI) 24J-2026
Cubara,3.2,6725,CO,El Pais (ShakeMap/MMI) 24J-2026
Ciudad Piar,3.1,40918,VE,El Pais (ShakeMap/MMI) 24J-2026
